 ,Label,Area,Mean,Min,Max,MinThr,MaxThr
11768,C1-A1-1.tif:11768-04069,118.983,3392.920,2843,5246,0,65535
11769,C1-A1-1.tif:11769-04074,395.224,4436.826,2940,19196,0,65535
11770,C1-A1-1.tif:11770-04065,43.267,2823.519,2455,3050,0,65535
11771,C1-A1-1.tif:11771-04068,75.301,2303.696,2001,2780,0,65535
11772,C1-A1-1.tif:11772-04074,268.336,2371.291,2002,2886,0,65535
11773,C1-A1-1.tif:11773-04070,183.051,6183.409,2696,24446,0,65535
11774,C1-A1-1.tif:11774-04074,400.632,7225.579,3124,28828,0,65535
11775,C1-A1-1.tif:11775-04092,1494.363,4635.629,2589,25529,0,65535
11776,C1-A1-1.tif:11776-04067,61.988,3038.020,2822,3342,0,65535
11777,C1-A1-1.tif:11777-04077,422.682,2842.604,2455,3522,0,65535
11778,C1-A1-1.tif:11778-04068,132.296,28106.186,2990,65535,0,65535
11779,C1-A1-1.tif:11779-04068,123.976,3436.466,3070,3851,0,65535
11780,C1-A1-1.tif:11780-04070,112.743,3268.908,2721,5640,0,65535
11781,C1-A1-1.tif:11781-04069,85.701,11610.447,3961,21506,0,65535
11782,C1-A1-1.tif:11782-04071,133.544,2788.953,2491,3035,0,65535
